,Name,Dates,Age,Location,Team,Opponent,Game Result,Started,Minutes Played,FG,FGA,FG3,FG3A,FG3Pct,FreeThrows,Free Throw Attempts,Free Throw Percent,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus Minus
401,Jonas Valanciunas,2017-03-27,24-325,home,TOR,ORL,W (+19),1,26:59,7,9,0,0,0.0,3,4,.750,1,8,9,0,0,1,0,2,17,16.1,+21
402,Jonas Valanciunas,2017-03-29,24-327,home,TOR,CHO,L (-4),1,28:48,5,6,0,0,0.0,4,4,1.000,4,11,15,0,1,3,0,2,14,20.2,+10
403,Jonas Valanciunas,2017-03-31,24-329,home,TOR,IND,W (+11),1,28:26,5,9,0,0,0.0,6,9,.667,4,13,17,1,1,2,2,2,16,17.5,+13
404,Jonas Valanciunas,2017-04-02,24-331,home,TOR,PHI,W (+8),1,27:35,7,9,0,0,0.0,0,0,0.0,3,5,8,1,2,1,1,1,14,16.1,+12
405,Jonas Valanciunas,2017-04-04,24-333,away,TOR,IND,L (-18),1,28:04,4,6,0,0,0.0,2,2,1.000,1,9,10,2,0,1,1,3,10,10.7,-3
406,Jonas Valanciunas,2017-04-05,24-334,away,TOR,DET,W (+3),1,26:36,9,11,0,0,0.0,1,2,.500,2,3,5,2,0,0,1,4,19,15.6,+2
407,Jonas Valanciunas,2017-04-07,24-336,home,TOR,MIA,W (+2),1,29:54,4,9,0,1,.000,1,2,.500,3,7,10,0,0,2,0,3,9,8.3,+2
408,Jonas Valanciunas,2017-04-09,24-338,away,TOR,NYK,W (+13),1,19:43,3,8,0,0,0.0,0,0,0.0,3,4,7,0,1,0,1,1,6,4.5,-12
409,Jonas Valanciunas,2017-04-12,24-341,away,TOR,CLE,W (+15),1,15:25,6,10,1,1,1.000,0,0,0.0,3,4,7,1,1,0,1,1,13,12.0,+15
410,Jonas Valanciunas,2017-10-19,25-166,home,TOR,CHI,W (+17),1,30:30,9,17,0,1,.000,5,6,.833,8,7,15,2,2,0,1,4,23,22.8,-2
411,Jonas Valanciunas,2017-10-21,25-168,home,TOR,PHI,W (+34),1,15:00,2,4,0,0,0.0,1,2,.500,0,4,4,0,0,0,0,2,5,3.0,-4
412,Jonas Valanciunas,2017-10-23,25-170,away,TOR,SAS,L (-4),dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp
413,Jonas Valanciunas,2017-10-25,25-172,away,TOR,GSW,L (-5),dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp
414,Jonas Valanciunas,2017-10-27,25-174,away,TOR,LAL,W (+9),dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp
415,Jonas Valanciunas,2017-10-30,25-177,away,TOR,POR,W (+14),dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp
416,Jonas Valanciunas,2017-11-01,25-179,away,TOR,DEN,L (-18),1,13:55,4,4,0,0,0.0,0,0,0.0,2,3,5,0,0,0,0,3,8,7.9,-7
417,Jonas Valanciunas,2017-11-03,25-181,away,TOR,UTA,W (+9),1,20:48,2,5,0,0,0.0,2,2,1.000,0,8,8,0,1,2,1,6,6,4.7,+9
418,Jonas Valanciunas,2017-11-05,25-183,home,TOR,WAS,L (-11),1,18:53,3,4,0,0,0.0,0,0,0.0,1,2,3,0,0,0,2,5,6,1.7,-16
419,Jonas Valanciunas,2017-11-07,25-185,home,TOR,CHI,W (+5),1,24:02,6,7,1,1,1.000,8,10,.800,1,9,10,0,0,0,2,2,21,18.3,+9
420,Jonas Valanciunas,2017-11-09,25-187,home,TOR,NOP,W (+4),1,27:22,3,9,0,0,0.0,1,2,.500,1,12,13,2,1,0,0,4,7,6.6,+10
421,Jonas Valanciunas,2017-11-12,25-190,away,TOR,BOS,L (-1),1,18:29,3,4,0,1,.000,0,0,0.0,0,3,3,0,0,0,1,3,6,3.1,-6
422,Jonas Valanciunas,2017-11-14,25-192,away,TOR,HOU,W (+16),1,16:48,5,9,0,0,0.0,2,2,1.000,3,4,7,1,0,0,2,2,12,8.9,0
423,Jonas Valanciunas,2017-11-15,25-193,away,TOR,NOP,W (+9),1,28:53,6,8,0,0,0.0,9,9,1.000,1,5,6,2,0,1,5,4,21,15.5,+1
424,Jonas Valanciunas,2017-11-17,25-195,home,TOR,NYK,W (+23),1,19:21,2,6,0,0,0.0,0,0,0.0,0,5,5,1,0,1,1,0,4,2.5,+6
425,Jonas Valanciunas,2017-11-19,25-197,home,TOR,WAS,W (+9),1,16:46,2,7,0,0,0.0,0,0,0.0,2,5,7,1,0,2,0,1,4,4.5,-5
426,Jonas Valanciunas,2017-11-22,25-200,away,TOR,NYK,L (-8),1,17:32,4,8,0,0,0.0,0,0,0.0,3,3,6,1,0,3,3,2,8,6.0,-5
427,Jonas Valanciunas,2017-11-24,25-202,away,TOR,IND,L (-3),1,13:38,2,4,0,0,0.0,2,2,1.000,2,3,5,0,0,0,3,2,6,2.5,-20
428,Jonas Valanciunas,2017-11-25,25-203,away,TOR,ATL,W (+34),1,19:58,7,9,0,1,.000,2,2,1.000,4,4,8,2,0,0,4,2,16,13.1,+10
429,Jonas Valanciunas,2017-11-29,25-207,home,TOR,CHO,W (+13),1,22:26,6,12,0,1,.000,0,0,0.0,6,1,7,0,0,0,1,5,12,7.5,+7
430,Jonas Valanciunas,2017-12-01,25-209,home,TOR,IND,W (+5),1,21:06,6,11,0,0,0.0,1,1,1.000,3,4,7,1,0,1,1,2,13,10.6,+5
431,Jonas Valanciunas,2017-12-05,25-213,home,TOR,PHO,W (+13),1,18:29,0,5,0,0,0.0,4,4,1.000,3,5,8,0,2,0,2,1,4,3.7,+8
432,Jonas Valanciunas,2017-12-08,25-216,away,TOR,MEM,W (+9),1,18:19,3,5,0,0,0.0,2,2,1.000,4,4,8,0,0,1,0,3,8,9.2,+8
433,Jonas Valanciunas,2017-12-10,25-218,away,TOR,SAC,W (+15),1,22:03,3,3,1,1,1.000,2,2,1.000,1,7,8,0,1,0,3,1,9,8.5,+17
434,Jonas Valanciunas,2017-12-11,25-219,away,TOR,LAC,L (-5),1,27:44,8,10,1,1,1.000,6,6,1.000,1,14,15,0,0,0,0,3,23,22.9,+3
435,Jonas Valanciunas,2017-12-13,25-221,away,TOR,PHO,W (+6),1,30:28,7,12,1,1,1.000,5,8,.625,0,11,11,0,1,0,1,4,20,14.9,+16
436,Jonas Valanciunas,2017-12-15,25-223,home,TOR,BRK,W (+33),1,21:42,7,11,0,1,.000,0,0,0.0,0,5,5,0,0,2,1,0,14,11.0,+33
437,Jonas Valanciunas,2017-12-17,25-225,home,TOR,SAC,W (+15),1,27:26,3,10,0,1,.000,7,8,.875,7,8,15,2,0,3,1,1,13,16.2,+4
438,Jonas Valanciunas,2017-12-20,25-228,away,TOR,CHO,W (+18),1,15:39,2,6,0,1,.000,0,0,0.0,1,6,7,0,2,1,0,4,4,4.2,+14
439,Jonas Valanciunas,2017-12-21,25-229,away,TOR,PHI,W (+5),1,15:43,1,6,0,0,0.0,0,0,0.0,2,3,5,1,0,0,0,0,2,1.2,-12
440,Jonas Valanciunas,2017-12-23,25-231,home,TOR,PHI,W (+16),1,23:43,4,7,0,0,0.0,4,5,.800,2,4,6,1,0,0,2,3,12,8.4,0
441,Jonas Valanciunas,2017-12-26,25-234,away,TOR,DAL,L (-5),1,24:56,5,11,0,0,0.0,7,9,.778,4,7,11,1,1,0,1,5,17,14.1,+7
442,Jonas Valanciunas,2017-12-27,25-235,away,TOR,OKC,L (-17),1,20:22,7,9,0,1,.000,2,2,1.000,1,1,2,0,0,1,1,3,16,12.0,-28
443,Jonas Valanciunas,2017-12-29,25-237,home,TOR,ATL,W (+13),1,21:39,5,12,1,2,.500,2,2,1.000,6,5,11,0,1,2,2,4,13,11.1,+5
444,Jonas Valanciunas,2018-01-01,25-240,home,TOR,MIL,W (+4),1,16:18,2,3,0,0,0.0,2,2,1.000,0,5,5,0,0,0,1,1,6,4.8,+7
445,Jonas Valanciunas,2018-01-03,25-242,away,TOR,CHI,W (+9),1,18:02,0,2,0,0,0.0,0,0,0.0,0,4,4,0,0,1,2,2,0,-2.3,-8
446,Jonas Valanciunas,2018-01-05,25-244,away,TOR,MIL,W (+19),1,17:26,8,9,0,0,0.0,4,5,.800,3,10,13,1,0,1,0,2,20,22.2,+26
447,Jonas Valanciunas,2018-01-08,25-247,away,TOR,BRK,W (+1),1,26:19,9,15,1,2,.500,2,4,.500,1,12,13,1,0,1,1,3,21,16.8,-2
448,Jonas Valanciunas,2018-01-09,25-248,home,TOR,MIA,L (-1),1,20:48,4,8,0,1,.000,0,0,0.0,1,2,3,0,0,2,0,1,8,6.3,+1
449,Jonas Valanciunas,2018-01-11,25-250,home,TOR,CLE,W (+34),1,18:38,6,9,0,1,.000,3,4,.750,6,12,18,1,0,0,3,4,15,14.6,+7
450,Jonas Valanciunas,2018-01-13,25-252,home,TOR,GSW,L (-2),1,26:17,3,8,0,0,0.0,6,6,1.000,3,6,9,3,0,0,3,0,12,10.6,+3
451,Jonas Valanciunas,2018-01-15,25-254,away,TOR,PHI,L (-6),1,13:59,4,5,0,0,0.0,0,0,0.0,0,5,5,1,0,0,2,3,8,5.1,-14
452,Jonas Valanciunas,2018-01-17,25-256,home,TOR,DET,W (+5),1,27:28,5,12,1,2,.500,6,6,1.000,2,14,16,3,0,1,4,4,17,13.4,+3
453,Jonas Valanciunas,2018-01-19,25-258,home,TOR,SAS,W (+3),1,30:01,7,10,1,1,1.000,0,0,0.0,4,7,11,0,1,0,3,4,15,12.1,+3
454,Jonas Valanciunas,2018-01-20,25-259,away,TOR,MIN,L (-6),1,11:26,0,1,0,0,0.0,0,0,0.0,0,3,3,1,0,0,1,4,0,-1.7,+1
455,Jonas Valanciunas,2018-01-24,25-263,away,TOR,ATL,W (+15),1,24:06,7,14,0,1,.000,2,3,.667,4,9,13,3,1,3,1,3,16,17.1,+19
456,Jonas Valanciunas,2018-01-26,25-265,home,TOR,UTA,L (-4),1,27:18,12,16,2,2,1.000,2,2,1.000,5,9,14,2,1,4,1,5,28,30.0,+4
457,Jonas Valanciunas,2018-01-28,25-267,home,TOR,LAL,W (+12),1,23:57,6,9,1,1,1.000,0,0,0.0,3,7,10,2,0,0,2,3,13,11.5,+7
458,Jonas Valanciunas,2018-01-30,25-269,home,TOR,MIN,W (+5),1,28:37,8,12,0,1,.000,2,2,1.000,3,8,11,1,1,0,1,1,18,17.6,+14
459,Jonas Valanciunas,2018-02-01,25-271,away,TOR,WAS,L (-3),1,29:12,7,8,2,2,1.000,1,2,.500,1,5,6,3,0,0,2,3,17,14.9,+3
460,Jonas Valanciunas,2018-02-02,25-272,home,TOR,POR,W (+25),1,24:10,7,15,2,4,.500,2,2,1.000,4,4,8,2,0,1,1,3,18,14.2,+11
461,Jonas Valanciunas,2018-02-04,25-274,home,TOR,MEM,W (+15),1,24:27,5,8,1,2,.500,1,2,.500,2,7,9,3,0,1,1,2,12,12.5,-11
462,Jonas Valanciunas,2018-02-06,25-276,home,TOR,BOS,W (+20),1,20:39,1,8,0,2,.000,0,0,0.0,1,6,7,1,1,1,1,3,2,-0.5,+11
463,Jonas Valanciunas,2018-02-08,25-278,home,TOR,NYK,W (+25),1,24:19,7,12,2,3,.667,2,4,.500,6,4,10,2,2,1,1,2,18,19.3,+7
464,Jonas Valanciunas,2018-02-11,25-281,away,TOR,CHO,W (+20),1,23:53,9,14,2,2,1.000,1,4,.250,1,8,9,2,1,1,0,2,21,19.0,+9
465,Jonas Valanciunas,2018-02-13,25-283,home,TOR,MIA,W (+3),1,30:08,2,4,0,0,0.0,2,2,1.000,1,9,10,1,1,1,2,2,6,7.0,-1
466,Jonas Valanciunas,2018-02-14,25-284,away,TOR,CHI,W (+24),1,23:16,7,9,0,1,.000,0,0,0.0,1,8,9,1,0,2,2,2,14,12.9,+12
467,Jonas Valanciunas,2018-02-23,25-293,home,TOR,MIL,L (-3),1,31:11,5,7,0,0,0.0,0,0,0.0,2,6,8,3,0,0,1,3,10,10.2,-3
468,Jonas Valanciunas,2018-02-26,25-296,home,TOR,DET,W (+29),1,22:00,1,6,0,2,.000,0,0,0.0,1,4,5,1,1,1,2,1,2,0.1,+14
469,Jonas Valanciunas,2018-02-28,25-298,away,TOR,ORL,W (+13),1,19:35,4,6,1,2,.500,1,2,.500,0,5,5,1,0,1,2,3,10,6.7,0
470,Jonas Valanciunas,2018-03-02,25-300,away,TOR,WAS,W (+7),1,18:33,5,6,1,1,1.000,1,4,.250,2,2,4,0,0,0,2,3,12,7.4,-11
471,Jonas Valanciunas,2018-03-04,25-302,home,TOR,CHO,W (+5),1,29:38,8,15,2,3,.667,0,0,0.0,4,9,13,0,1,2,4,2,18,13.8,+9
472,Jonas Valanciunas,2018-03-06,25-304,home,TOR,ATL,W (+16),1,25:58,4,11,0,2,.000,7,8,.875,2,5,7,2,0,2,2,2,15,11.4,-4
473,Jonas Valanciunas,2018-03-07,25-305,away,TOR,DET,W (+2),1,31:28,6,14,1,4,.250,1,1,1.000,3,8,11,3,2,3,2,1,14,14.9,-1
474,Jonas Valanciunas,2018-03-09,25-307,home,TOR,HOU,W (+3),1,27:53,5,8,0,0,0.0,4,4,1.000,4,6,10,3,2,1,3,4,14,15.2,+7
475,Jonas Valanciunas,2018-03-11,25-309,away,TOR,NYK,W (+26),1,22:03,4,6,0,0,0.0,9,10,.900,2,7,9,2,0,0,1,2,17,17.1,+1
476,Jonas Valanciunas,2018-03-13,25-311,away,TOR,BRK,W (+14),1,26:41,12,20,0,1,.000,2,5,.400,4,10,14,1,0,1,1,1,26,21.4,+5
477,Jonas Valanciunas,2018-03-15,25-313,away,TOR,IND,W (+7),1,27:20,5,13,1,1,1.000,5,5,1.000,8,10,18,2,0,4,1,2,16,19.9,+6
478,Jonas Valanciunas,2018-03-16,25-314,home,TOR,DAL,W (+7),1,22:59,7,9,0,0,0.0,7,8,.875,4,8,12,1,0,1,1,3,21,21.5,+5
479,Jonas Valanciunas,2018-03-18,25-316,home,TOR,OKC,L (-7),1,21:50,5,7,0,0,0.0,0,0,0.0,1,1,2,2,0,0,3,5,10,4.5,-12
480,Jonas Valanciunas,2018-03-20,25-318,away,TOR,ORL,W (+7),1,19:22,4,8,0,2,.000,1,4,.250,1,7,8,2,1,1,1,1,9,8.3,-6
481,Jonas Valanciunas,2018-03-21,25-319,away,TOR,CLE,L (-3),1,20:11,6,6,1,1,1.000,2,3,.667,2,6,8,2,0,1,1,1,15,16.7,+6
482,Jonas Valanciunas,2018-03-23,25-321,home,TOR,BRK,W (+4),1,21:18,8,14,1,4,.250,6,6,1.000,2,6,8,0,0,0,3,4,23,15.0,-1
483,Jonas Valanciunas,2018-03-25,25-323,home,TOR,LAC,L (-11),1,20:28,7,11,1,1,1.000,1,1,1.000,2,8,10,1,1,1,1,4,16,14.7,+9
484,Jonas Valanciunas,2018-03-27,25-325,home,TOR,DEN,W (+4),1,22:33,6,10,0,1,.000,3,4,.750,1,6,7,0,0,4,2,2,15,12.5,+1
485,Jonas Valanciunas,2018-03-31,25-329,away,TOR,BOS,L (-11),1,25:20,6,12,0,1,.000,1,2,.500,5,6,11,0,0,1,0,1,13,12.2,-3
486,Jonas Valanciunas,2018-04-03,25-332,away,TOR,CLE,L (-6),1,22:29,8,15,0,1,.000,1,1,1.000,4,6,10,1,0,0,1,0,17,14.0,-10
487,Jonas Valanciunas,2018-04-04,25-333,home,TOR,BOS,W (+18),1,13:28,2,8,0,2,.000,0,0,0.0,3,2,5,0,0,0,1,2,4,0.1,-1
488,Jonas Valanciunas,2018-04-06,25-335,home,TOR,IND,W (+19),1,21:37,3,7,0,0,0.0,2,3,.667,2,10,12,0,0,1,1,2,8,7.2,+16
489,Jonas Valanciunas,2018-04-08,25-337,home,TOR,ORL,W (+11),dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp
490,Jonas Valanciunas,2018-04-09,25-338,away,TOR,DET,W (+10),1,25:03,11,13,1,1,1.000,2,2,1.000,3,6,9,0,0,0,1,2,25,22.4,+21
491,Jonas Valanciunas,2018-04-11,25-340,away,TOR,MIA,L (-7),1,23:52,5,9,0,2,.000,2,2,1.000,0,7,7,2,0,3,2,1,12,10.9,0
492,Jonas Valanciunas,2018-10-17,26-164,home,TOR,CLE,W (+12),1,20:24,3,8,0,2,.000,0,0,0.0,2,10,12,3,0,0,0,2,6,7.3,+13
493,Jonas Valanciunas,2018-10-19,26-166,home,TOR,BOS,W (+12),0,14:28,1,3,0,0,0.0,2,2,1.000,1,4,5,0,0,0,2,4,4,0.6,-4
494,Jonas Valanciunas,2018-10-20,26-167,away,TOR,WAS,W (+4),1,18:50,5,8,0,0,0.0,6,7,.857,2,5,7,1,0,1,1,4,16,13.7,+5
495,Jonas Valanciunas,2018-10-22,26-169,home,TOR,CHO,W (+21),0,19:42,7,8,0,0,0.0,3,4,.750,2,8,10,2,2,2,0,2,17,21.6,+6
496,Jonas Valanciunas,2018-10-24,26-171,home,TOR,MIN,W (+7),0,20:02,7,11,2,3,.667,0,0,0.0,5,4,9,2,0,0,1,3,16,15.0,+4
497,Jonas Valanciunas,2018-10-26,26-173,home,TOR,DAL,W (+9),1,22:02,7,16,0,1,.000,3,4,.750,5,3,8,1,1,0,1,4,17,11.7,+12
498,Jonas Valanciunas,2018-10-29,26-176,away,TOR,MIL,L (-15),0,12:55,3,10,0,1,.000,4,4,1.000,2,1,3,0,1,0,0,1,10,6.5,-21
499,Jonas Valanciunas,2018-10-30,26-177,home,TOR,PHI,W (+17),0,17:08,8,14,1,3,.333,6,6,1.000,1,3,4,1,0,2,3,4,23,15.5,+1
500,Jonas Valanciunas,2018-11-02,26-180,away,TOR,PHO,W (+9),1,24:25,7,10,1,2,.500,1,2,.500,1,6,7,1,1,4,2,6,16,14.0,+3
501,Jonas Valanciunas,2018-11-04,26-182,away,TOR,LAL,W (+14),0,17:04,5,9,0,1,.000,4,4,1.000,0,8,8,1,2,1,0,3,14,14.3,-16
502,Jonas Valanciunas,2018-11-05,26-183,away,TOR,UTA,W (+13),1,21:36,4,10,1,2,.500,2,2,1.000,0,6,6,0,1,2,1,1,11,8.4,+9
503,Jonas Valanciunas,2018-11-07,26-185,away,TOR,SAC,W (+9),0,19:46,4,7,0,0,0.0,3,4,.750,2,8,10,1,0,1,1,3,11,10.3,+4
504,Jonas Valanciunas,2018-11-10,26-188,home,TOR,NYK,W (+16),0,20:47,6,8,1,1,1.000,6,10,.600,3,7,10,1,1,1,1,3,19,18.6,+18
505,Jonas Valanciunas,2018-11-12,26-190,home,TOR,NOP,L (-16),0,14:53,0,3,0,1,.000,2,2,1.000,1,6,7,2,0,1,2,2,2,1.7,-5
506,Jonas Valanciunas,2018-11-14,26-192,home,TOR,DET,L (-2),1,26:57,6,12,0,1,.000,2,2,1.000,2,4,6,0,0,1,3,4,14,6.7,+5
507,Jonas Valanciunas,2018-11-16,26-194,away,TOR,BOS,L (-7),0,19:04,5,8,0,0,0.0,1,1,1.000,3,2,5,1,0,1,2,1,11,9.1,-13
508,Jonas Valanciunas,2018-11-17,26-195,away,TOR,CHI,W (+39),0,13:58,4,6,0,1,.000,0,0,0.0,1,8,9,1,0,0,1,2,8,7.4,+14
509,Jonas Valanciunas,2018-11-20,26-198,away,TOR,ORL,W (+2),0,20:36,4,8,0,2,.000,0,0,0.0,0,6,6,0,2,0,3,4,8,3.2,+3
510,Jonas Valanciunas,2018-11-21,26-199,away,TOR,ATL,W (+16),1,26:43,9,12,1,2,.500,5,8,.625,3,10,13,2,0,1,2,2,24,22.4,+21
511,Jonas Valanciunas,2018-11-23,26-201,home,TOR,WAS,W (+18),1,18:14,3,7,0,0,0.0,2,2,1.000,4,3,7,3,0,0,3,2,8,6.3,-4
512,Jonas Valanciunas,2018-11-25,26-203,home,TOR,MIA,W (+10),1,24:14,8,10,0,0,0.0,1,1,1.000,2,8,10,2,0,0,1,2,17,16.6,+24
513,Jonas Valanciunas,2018-11-27,26-205,away,TOR,MEM,W (+8),0,14:27,3,3,1,1,1.000,2,2,1.000,1,2,3,2,0,1,3,2,9,7.7,-5
514,Jonas Valanciunas,2018-11-29,26-207,home,TOR,GSW,W (+3),0,15:46,4,5,0,0,0.0,4,4,1.000,0,4,4,0,0,1,1,2,12,10.2,-13
515,Jonas Valanciunas,2018-12-01,26-209,away,TOR,CLE,W (+11),0,18:17,2,5,0,1,.000,1,2,.500,1,3,4,0,0,1,2,4,5,0.6,-9
516,Jonas Valanciunas,2018-12-03,26-211,home,TOR,DEN,L (-3),0,18:20,3,6,0,0,0.0,2,2,1.000,1,9,10,0,0,1,1,5,8,6.1,0
517,Jonas Valanciunas,2018-12-05,26-213,home,TOR,PHI,W (+11),0,18:00,9,13,0,1,.000,8,9,.889,1,7,8,2,0,0,0,3,26,23.1,+14
518,Jonas Valanciunas,2018-12-07,26-215,away,TOR,BRK,L (-1),1,26:19,10,15,0,2,.000,4,6,.667,2,6,8,0,0,1,0,3,24,19.4,+5
519,Jonas Valanciunas,2018-12-09,26-217,home,TOR,MIL,L (-5),0,13:00,2,8,0,0,0.0,2,2,1.000,3,2,5,0,0,0,2,3,6,0.7,-9
520,Jonas Valanciunas,2018-12-11,26-219,away,TOR,LAC,W (+24),0,18:25,7,12,1,2,.500,1,2,.500,2,3,5,0,2,0,0,1,16,13.9,+6
521,Jonas Valanciunas,2018-12-12,26-220,away,TOR,GSW,W (+20),0,7:51,3,4,0,0,0.0,0,0,0.0,1,6,7,0,0,0,0,0,6,6.9,+2
522,Jonas Valanciunas,2018-12-14,26-222,away,TOR,POR,L (-6),dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp
523,Jonas Valanciunas,2018-12-16,26-224,away,TOR,DEN,L (-9),dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp
524,Jonas Valanciunas,2018-12-19,26-227,home,TOR,IND,W (+3),dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp
525,Jonas Valanciunas,2018-12-21,26-229,home,TOR,CLE,W (+16),dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp
526,Jonas Valanciunas,2018-12-22,26-230,away,TOR,PHI,L (-25),dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp
527,Jonas Valanciunas,2018-12-26,26-234,away,TOR,MIA,W (+2),dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp
528,Jonas Valanciunas,2018-12-28,26-236,away,TOR,ORL,L (-29),dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp
529,Jonas Valanciunas,2018-12-30,26-238,home,TOR,CHI,W (+6),dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp
530,Jonas Valanciunas,2019-01-01,26-240,home,TOR,UTA,W (+6),dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp
531,Jonas Valanciunas,2019-01-03,26-242,away,TOR,SAS,L (-18),dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp
532,Jonas Valanciunas,2019-01-05,26-244,away,TOR,MIL,W (+7),dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp
533,Jonas Valanciunas,2019-01-06,26-245,home,TOR,IND,W (+16),dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp
534,Jonas Valanciunas,2019-01-08,26-247,home,TOR,ATL,W (+3),dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp
535,Jonas Valanciunas,2019-01-11,26-250,home,TOR,BRK,W (+17),dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp
